attempt    K    arraySize    mergeSortTime    hybridSortTime
6    59    5000    0.005292    0.004425
6    60    5000    0.005292    0.004412
6    61    5000    0.005299    0.004383
6    62    5000    0.005298    0.004447
6    63    5000    0.005299    0.004435
6    64    5000    0.005299    0.004414
6    65    5000    0.005299    0.004446
6    66    5000    0.005298    0.004408
6    67    5000    0.005295    0.004389
6    68    5000    0.005299    0.004445
6    69    5000    0.005294    0.004418
6    70    5000    0.005300    0.004365
6    71    5000    0.005302    0.004397
6    72    5000    0.005295    0.004420
6    73    5000    0.005294    0.004436
6    74    5000    0.005305    0.004417
6    75    5000    0.005311    0.004407
6    76    5000    0.005300    0.004408
6    77    5000    0.005299    0.005446
6    78    5000    0.005300    0.005600
6    79    5000    0.005300    0.005619
6    80    5000    0.005296    0.005581
7    0    5000    0.005302    0.005526
7    1    5000    0.005302    0.004990
7    2    5000    0.005292    0.004705
7    3    5000    0.005296    0.004663
7    4    5000    0.005301    0.004294
7    5    5000    0.005305    0.004283
7    6    5000    0.005301    0.004286
7    7    5000    0.005298    0.004283
7    8    5000    0.005298    0.004241
7    9    5000    0.005301    0.004078
7    10    5000    0.005304    0.004062
7    11    5000    0.005299    0.004074
7    12    5000    0.005298    0.004077
7    13    5000    0.005301    0.004068
7    14    5000    0.005302    0.004078
7    15    5000    0.005297    0.004074
7    16    5000    0.005275    0.004066
7    17    5000    0.005302    0.004066
7    18    5000    0.005301    0.004060
7    19    5000    0.005304    0.004032
7    20    5000    0.005299    0.004034
7    21    5000    0.005303    0.004040
7    22    5000    0.005297    0.004039
7    23    5000    0.005300    0.004039
7    24    5000    0.005301    0.004048
7    25    5000    0.005301    0.004028
7    26    5000    0.005301    0.004036
7    27    5000    0.005295    0.003967
7    28    5000    0.005295    0.004033
7    29    5000    0.005295    0.004032
7    30    5000    0.005299    0.004046
7    31    5000    0.005298    0.004038
7    32    5000    0.005303    0.004042
7    33    5000    0.005294    0.004040
7    34    5000    0.005293    0.004043
7    35    5000    0.005301    0.004028
7    36    5000    0.005297    0.004033
7    37    5000    0.005299    0.004031
7    38    5000    0.005292    0.004400
7    39    5000    0.005294    0.004401
7    40    5000    0.005298    0.004412
7    41    5000    0.005303    0.004418
7    42    5000    0.005305    0.004389
7    43    5000    0.005289    0.004395
7    44    5000    0.005288    0.004441
7    45    5000    0.005301    0.004412
7    46    5000    0.005300    0.004437
7    47    5000    0.005297    0.004420
7    48    5000    0.005295    0.004409
7    49    5000    0.005315    0.004419
7    50    5000    0.005299    0.004403
7    51    5000    0.005301    0.004415
7    52    5000    0.005292    0.004419
7    53    5000    0.005298    0.004406
7    54    5000    0.005301    0.004421
7    55    5000    0.005299    0.004353
7    56    5000    0.005294    0.004414
7    57    5000    0.005299    0.004423
7    58    5000    0.005302    0.004401
7    59    5000    0.005302    0.004396
7    60    5000    0.005301    0.004425
7    61    5000    0.005296    0.004438
7    62    5000    0.005295    0.004426
7    63    5000    0.005306    0.004434
7    64    5000    0.005295    0.004414
7    65    5000    0.005299    0.004407
7    66    5000    0.005294    0.004424
7    67    5000    0.005304    0.004410
7    68    5000    0.005298    0.004424
7    69    5000    0.005296    0.004410
7    70    5000    0.005299    0.004365
7    71    5000    0.005300    0.004416
7    72    5000    0.005305    0.004416
7    73    5000    0.005312    0.004420
7    74    5000    0.005297    0.004401
7    75    5000    0.005297    0.004408
7    76    5000    0.005301    0.004396
7    77    5000    0.005304    0.005435
7    78    5000    0.005296    0.005594
7    79    5000    0.005295    0.005574
7    80    5000    0.005302    0.005597
8    0    5000    0.005291    0.005523
8    1    5000    0.005290    0.004996
8    2    5000    0.005308    0.004709
8    3    5000    0.005297    0.004650
8    4    5000    0.005301    0.004295
8    5    5000    0.005294    0.004290
8    6    5000    0.005302    0.004287
8    7    5000    0.005302    0.004286
8    8    5000    0.005297    0.004237
8    9    5000    0.005299    0.004078
8    10    5000    0.005294    0.004077
8    11    5000    0.005303    0.004066
8    12    5000    0.005307    0.004069
8    13    5000    0.005301    0.004069
8    14    5000    0.005303    0.004069
8    15    5000    0.005294    0.004074
8    16    5000    0.005305    0.004072
8    17    5000    0.005302    0.004066
8    18    5000    0.005299    0.004049
8    19    5000    0.005302    0.004053
8    20    5000    0.005299    0.004057
8    21    5000    0.005301    0.004027
8    22    5000    0.005304    0.004057
8    23    5000    0.005301    0.004032
8    24    5000    0.005295    0.004035
8    25    5000    0.005300    0.004032
8    26    5000    0.005297    0.004042
8    27    5000    0.005299    0.004028
8    28    5000    0.005306    0.004037
8    29    5000    0.005295    0.004029
8    30    5000    0.005291    0.004046
8    31    5000    0.005296    0.004036
8    32    5000    0.005298    0.004044
8    33    5000    0.005302    0.004028
8    34    5000    0.005299    0.004030
8    35    5000    0.005301    0.003991
8    36    5000    0.005299    0.004032
8    37    5000    0.005292    0.004036
8    38    5000    0.005296    0.004380
8    39    5000    0.005298    0.004427
8    40    5000    0.005297    0.004420
8    41    5000    0.005295    0.004430
8    42    5000    0.005295    0.004416
8    43    5000    0.005296    0.004419
8    44    5000    0.005301    0.004413
8    45    5000    0.005299    0.004412
8    46    5000    0.005296    0.004428
8    47    5000    0.005301    0.004385
8    48    5000    0.005296    0.004396
8    49    5000    0.005289    0.004383
8    50    5000    0.005294    0.004429
8    51    5000    0.005300    0.004349
8    52    5000    0.005298    0.004452
8    53    5000    0.005306    0.004411
8    54    5000    0.005300    0.004415
8    55    5000    0.005291    0.004413
8    56    5000    0.005308    0.004408
8    57    5000    0.005298    0.004414
8    58    5000    0.005296    0.004429
8    59    5000    0.005305    0.004419
8    60    5000    0.005299    0.004424
8    61    5000    0.005303    0.004392
8    62    5000    0.005299    0.004407
8    63    5000    0.005296    0.004431
8    64    5000    0.005291    0.004395
8    65    5000    0.005302    0.004443
8    66    5000    0.005306    0.004397
8    67    5000    0.005303    0.004410
8    68    5000    0.005297    0.004412
8    69    5000    0.005300    0.004399
8    70    5000    0.005301    0.004424
